Pb Bottle 1 (ppb) - First Draw,Pb Bottle 2 (ppb) - 45 secs flushing,Pb Bottle 3 (ppb) - 2 mins flushing
0.344,0.226,0.145
8.133,10.77,2.761
1.111,0.11,0.123
8.007,7.446,3.384
1.951,0.048,0.035
7.2,1.4,0.2
40.63,9.726,6.132
1.1,2.5,0.1
10.6,1.038,1.294
6.2,4.2,2.3
4.358,0.822,0.147
24.37,8.796,4.347
6.609,5.752,1.433
4.062,1.099,1.085
2.484,0.72,0.565
0.438,1.046,0.511
1.29,0.243,0.225
0.548,0.622,0.361
3.131,0.674,0.683
120.,239.7,29.71
2.911,0.406,0.237
16.52,10.26,2.762
1.984,1.13,0.712
5.367,2.474,1.616
5.5,8.4,2.4
0.639,0.223,0.194
6.087,28.87,2.13
10.32,13.47,18.19
66.88,2.662,2.082
20.41,3.543,2.344
109.6,80.47,94.52
5.06,3.406,4.088
2.774,0.21,0.264
4.453,3.679,3.523
0.4,0.3,0.7
0.974,0.142,0.118
3.228,2.534,2.222
12.55,4.132,0.12
0.501,0.156,15.14
2.448,0.373,0.288
5.508,5.157,2.621
1.293,0.441,0.281
4.699,1.395,0.329
6.093,2.682,1.458
0.8,0.8,0.5
1.626,1.332,0.327
2.576,2.852,1.48
2.362,0.467,0.339
1.585,0.494,1.232
3.058,1.808,1.169
2.423,0.393,0.373
30.91,42.58,44.6
4.47,3.649,1.
2.172,1.76,1.44
1.8,0.5,0.2
0.965,0.166,0.319
7.636,5.206,9.239
3.158,1.948,2.802
105.3,12.84,4.534
4.476,0.355,0.334
2.828,6.694,20.99
2.481,3.86,24.64
11.52,0.288,0.215
3.784,0.292,0.258
1.344,0.729,1.226
11.93,9.645,3.514
10.96,7.744,4.16
3.341,0.555,0.917
1.229,1.192,0.218
6.3,1.1,0.3
5.153,0.385,0.322
6.054,0.927,0.676
31.14,4.73,3.188
102.7,9.894,3.133
1.38,3.734,0.524
1.132,2.17,0.465
3.232,2.989,1.927
0.507,2.315,0.231
8.561,5.141,4.724
9.997,0.983,0.611
4.152,0.758,0.433
75.82,11.65,3.942
138.8,2.745,0.797
0.8,0.2,0.2
7.244,1051.,1.328
1.621,0.3,0.238
1.032,0.363,0.216
0.866,0.292,0.269
2.525,0.59,0.438
9.408,4.444,3.935
0.739,4.883,0.953
0.9,0.2,0.1
1.403,0.142,0.121
5.655,5.882,10.66
31.06,8.578,3.176
1.469,0.291,0.25
23.85,2.301,1.62
9.766,11.13,7.144
4.69,0.953,0.929
4.066,5.894,4.76
0.846,0.455,0.366
2.054,3.978,0.355
3.744,5.592,2.476
12.9,2.202,1.667
0.543,0.183,0.162
6.877,2.984,2.201
0.552,0.19,0.205
59.,2.9,0.5
0.349,0.13,0.131
4.764,1.388,1.06
0.832,0.284,0.214
1.224,0.568,0.465
15.9,3.7,2.2
5.667,1.405,0.896
3.564,2.767,2.127
0.475,0.2,0.268
5.3,0.5,0.2
1.166,0.736,0.269
0.684,0.306,0.094
6.347,1.724,0.678
10.56,5.672,4.813
2.273,2.808,3.048
1.571,1.265,0.316
5.402,4.196,1.945
43.19,7.688,4.39
1.492,1.409,0.378
66.24,17.75,8.815
1.799,0.032,0.031
1.861,1.355,0.64
2.672,2.001,1.094
3.741,1.211,0.258
1.934,0.374,0.424
27.05,0.902,0.61
1.174,0.291,4.055
2.325,1.099,0.466
1.966,0.253,0.201
1.959,0.438,0.448
0.823,1.881,0.412
11.2,7.553,12.21
5.668,3.341,3.268
6.261,1.316,0.5
4.797,1.594,1.264
0.64,0.905,0.151
8.713,2.799,50.97
2.544,1.099,0.498
0.41,0.096,0.116
32.85,35.76,9.103
12.87,14.87,6.326
38.02,38.7,38.94
2.435,8.183,1.296
2.997,1.867,1.512
11.,10.53,8.688
6.219,12.33,4.202
8.8,3.1,4.5
8.071,0.947,0.839
3.262,0.453,0.252
2.267,0.541,0.391
0.922,0.878,0.491
27.02,31.25,11.37
0.906,0.961,1.052
2.85,6.862,0.951
1.852,0.472,0.422
5.35,1.328,0.595
25.21,4.337,1.019
15.55,3.962,1.861
0.793,0.533,0.391
5.068,0.683,0.489
26.64,8.878,6.619
1.867,0.165,0.175
19.16,12.54,7.719
28.7,12.7,8.6
20.22,8.908,6.677
2.9,0.6,0.7
18.86,5.051,2.548
2.816,0.324,0.362
118.4,40.78,39.99
27.45,0.939,0.533
1.2,0.1,0.1
4.681,0.755,0.456
11.57,6.08,1.782
6.557,0.289,0.371
3.4,9.6,1.7
0.7,0.2,0.2
158.,90.83,91.69
0.977,0.47,0.381
8.471,4.692,1.48
11.47,23.15,7.129
5.228,2.477,1.014
0.956,0.196,0.157
1.671,0.405,4.721
1.152,0.708,0.282
0.5,0.1,0.1
10.74,2.331,1.628
3.9,0.4,0.2
2.149,0.368,0.333
1.1,0.4,0.2
7.087,9.467,1.28
1.329,0.609,0.527
6.2,0.7,0.6
0.8,0.26,0.255
9.3,9.7,5.
2.1,1.2,0.5
4.563,3.106,2.997
4.808,6.196,1.523
0.753,2.526,0.549
1.862,1.213,0.898
1.183,0.366,0.201
8.2,3.2,2.6
3.679,0.498,0.288
2.37,7.333,3.797
0.828,1.318,0.233
0.719,0.254,0.058
2.822,1.221,0.258
2.867,0.723,0.744
2.332,3.588,1.221
4.401,2.111,1.572
2.708,2.238,0.809
34.13,6.002,1.71
5.218,2.614,0.831
15.73,13.95,3.584
3.045,2.744,0.299
1.1,0.5,0.3
1.386,0.288,0.432
0.915,0.354,0.306
2.145,0.345,3.738
4.056,0.547,0.378
1.668,1.508,2.72
7.575,1.362,1.094
5.59,4.306,2.019
0.708,0.326,0.303
1.701,4.397,1.287
1.467,0.149,0.137
2.582,259.8,61.96
22.08,15.86,9.262
16.51,2.024,7.068
56.26,4.692,1.243
2.433,1.334,1.376
0.5,0.2,0.5
29.13,11.57,6.388
12.3,0.5,0.4
3.445,0.29,0.167
16.49,12.83,9.018
3.365,2.45,1.675
1.154,0.176,0.12
13.53,21.91,4.675
2.229,1.573,0.84
28.91,5.471,3.056
6.601,1.929,0.417
0.948,0.27,0.207
3.484,0.434,0.306
1.888,0.359,0.322
13.95,12.2,8.251
6.27,4.036,1.182
19.12,22.02,7.968
1.633,0.465,0.238
1.114,0.605,0.255
3.9,0.558,0.504
3.521,0.45,0.321
3.832,0.794,0.339
3.243,0.738,0.27
0.99,0.25,0.263
1.203,19.26,1.626
2.261,0.102,0.407
16.99,6.32,3.585
3.322,2.559,1.512
14.33,1.284,0.323
18.11,20.21,4.263
12.81,7.874,1.78
1.083,0.322,0.26
29.59,3.258,1.843
4.287,4.345,4.905
