t, w1, w2, w3, w4, w5
10.0000,0.0000,0.0000,-0.0000,0.0200,0.0200
10.0100,0.0000,0.0000,-0.0000,0.0181,0.0181
10.0200,0.0000,0.0000,-0.0000,0.0163,0.0163
10.0300,0.0000,0.0000,-0.0000,0.0144,0.0144
10.0400,0.0000,0.0000,-0.0000,0.0125,0.0125
10.0500,0.0000,0.0000,-0.0000,0.0107,0.0107
10.0600,0.0000,0.0000,-0.0000,0.0089,0.0089
10.0700,0.0000,0.0000,-0.0000,0.0071,0.0071
10.0800,0.0000,0.0000,-0.0000,0.0053,0.0053
10.0900,0.0000,0.0000,-0.0000,0.0035,0.0035
10.1000,0.0000,0.0000,-0.0000,0.0017,0.0017
10.1100,0.0000,0.0000,-0.0000,-0.0000,-0.0000
10.1200,0.0000,0.0000,-0.0000,-0.0018,-0.0018
10.1300,0.0000,0.0000,-0.0000,-0.0035,-0.0035
10.1400,0.0000,0.0000,-0.0000,-0.0052,-0.0052
10.1500,0.0000,0.0000,-0.0000,-0.0069,-0.0069
10.1600,0.0000,0.0000,-0.0000,-0.0086,-0.0086
10.1700,0.0000,0.0000,-0.0000,-0.0103,-0.0103
10.1800,0.0000,0.0000,-0.0000,-0.0120,-0.0120
10.1900,0.0000,0.0000,-0.0000,-0.0136,-0.0136
10.2000,0.0000,0.0000,-0.0000,-0.0152,-0.0152
10.2100,0.0000,0.0000,-0.0000,-0.0168,-0.0168
10.2200,0.0000,0.0000,-0.0000,-0.0184,-0.0184
10.2300,0.0000,0.0000,-0.0000,-0.0200,-0.0200
10.2400,0.0000,0.0000,-0.0000,-0.0215,-0.0215
10.2500,0.0000,0.0000,-0.0000,-0.0230,-0.0230
10.2600,0.0000,0.0000,-0.0000,-0.0246,-0.0246
10.2700,0.0000,0.0000,-0.0000,-0.0260,-0.0260
10.2800,0.0000,0.0000,-0.0000,-0.0275,-0.0275
10.2900,0.0000,0.0000,-0.0000,-0.0290,-0.0290
10.3000,-0.0000,-0.0000,-0.0000,-0.0304,-0.0304
10.3100,-0.0000,-0.0000,-0.0000,-0.0318,-0.0318
10.3200,-0.0000,-0.0000,-0.0000,-0.0332,-0.0332
10.3300,-0.0000,-0.0000,-0.0000,-0.0346,-0.0346
10.3400,-0.0000,-0.0000,-0.0000,-0.0359,-0.0359
10.3500,-0.0000,-0.0000,-0.0000,-0.0373,-0.0373
10.3600,-0.0000,-0.0000,-0.0000,-0.0386,-0.0386
10.3700,-0.0000,-0.0000,-0.0000,-0.0399,-0.0399
10.3800,-0.0000,-0.0000,-0.0000,-0.0411,-0.0411
10.3900,-0.0000,-0.0000,-0.0000,-0.0424,-0.0424
10.4000,-0.0000,-0.0000,-0.0000,-0.0436,-0.0436
10.4100,-0.0000,-0.0000,-0.0000,-0.0448,-0.0448
10.4200,-0.0000,-0.0000,-0.0000,-0.0460,-0.0460
10.4300,-0.0000,-0.0000,-0.0000,-0.0471,-0.0471
10.4400,-0.0000,-0.0000,-0.0000,-0.0483,-0.0483
10.4500,-0.0000,-0.0000,-0.0000,-0.0494,-0.0494
10.4600,-0.0000,-0.0000,-0.0000,-0.0504,-0.0504
